gene,scna_count,scna_frequency,mutation_count,mutation_frequency,combined_count,combined_frequency,selected_top500
ZNF703,116,0.14890885750962773,2,0.0025673940949935813,118,0.1514762516046213,True
RAB11FIP1,114,0.14634146341463414,6,0.007702182284980745,118,0.1514762516046213,True
CYP11B1,113,0.14505776636713735,5,0.006418485237483954,118,0.1514762516046213,True
INTS8,109,0.1399229781771502,9,0.011553273427471117,118,0.1514762516046213,True
RAD54B,106,0.13607188703465983,14,0.01797175866495507,118,0.1514762516046213,True
OBSCN,89,0.11424903722721438,38,0.04878048780487805,118,0.1514762516046213,True
CHRAC1,117,0.15019255455712452,0,0.0,117,0.15019255455712452,True
LINC00051,117,0.15019255455712452,0,0.0,117,0.15019255455712452,True
PTP4A3,117,0.15019255455712452,0,0.0,117,0.15019255455712452,True
RNU6ATAC8P,117,0.15019255455712452,0,0.0,117,0.15019255455712452,True
SNORA25|ENSG00000251744.1,117,0.15019255455712452,0,0.0,117,0.15019255455712452,True
SNORD5|ENSG00000238854.1,117,0.15019255455712452,0,0.0,117,0.15019255455712452,True
